champion,kills,deaths,assists,gold
Aatrox,6.68421052632,5.57894736842,5.52631578947,12743.0
Ahri,6.51923076923,4.71538461538,7.17307692308,11724.5923077
Akali,8.36,5.92,5.14,12796.06
Alistar,1.6338028169,5.80281690141,13.4647887324,8740.52112676
Amumu,3.95,5.4,7.35,9871.9
Anivia,5.87837837838,4.66216216216,7.40540540541,12566.7297297
Annie,5.97826086957,6.05434782609,7.3152173913,10878.8695652
Ashe,4.08383233533,5.5628742515,8.25149700599,11108.7005988
Aurelion Sol,6.48780487805,4.43902439024,7.12195121951,11171.9756098
Azir,4.95,6.6,5.85,11624.6
Bard,2.5867768595,5.22314049587,13.1900826446,9207.6446281
Blitzcrank,2.24855491329,5.57803468208,12.0462427746,8668.31213873
Brand,4.28125,6.78125,8.546875,10120.5625
Braum,1.16883116883,5.22077922078,13.5844155844,8684.44155844
Caitlyn,5.68160377358,5.31367924528,7.04481132075,12125.6910377
Camille,6.07476635514,6.31775700935,6.04672897196,10772.2897196
Cassiopeia,5.93902439024,5.82926829268,6.73170731707,11768.2926829
Cho'Gath,5.25,4.8,5.35,10897.9
Corki,6.3,5.9,7.0,12012.2272727
Darius,5.82467532468,5.7987012987,4.88961038961,11254.4545455
Diana,7.54054054054,5.21621621622,6.18918918919,12242.0
Dr. Mundo,2.4,6.33333333333,4.53333333333,9810.0
Draven,6.32051282051,5.61538461538,5.58974358974,12265.775641
Ekko,6.43333333333,6.38,5.74666666667,11685.7466667
Elise,6.5980861244,5.41626794258,7.30622009569,11293.5023923
Evelynn,7.54545454545,6.22727272727,8.79545454545,11954.1363636
Ezreal,6.3102189781,4.95072992701,7.75182481752,12081.4525547
Fiddlesticks,4.72222222222,6.47222222222,9.30555555556,10072.9166667
Fiora,6.1921182266,5.41379310345,4.55665024631,11932.1773399
Fizz,7.71578947368,6.36842105263,5.91578947368,11778.1263158
Galio,3.46666666667,5.46666666667,8.3,9870.43333333
Gangplank,5.99300699301,5.12587412587,8.08391608392,13883.4755245
Garen,5.69565217391,6.39130434783,5.21739130435,10862.5217391
Gnar,4.79310344828,5.44827586207,5.8275862069,10867.3793103
Gragas,4.69696969697,4.87878787879,8.27272727273,10908.2525253
Graves,7.21317829457,5.72480620155,6.49612403101,12840.0387597
Hecarim,6.93506493506,5.06060606061,8.08225108225,12028.2380952
Heimerdinger,4.0,4.5,7.0,11342.5625
Illaoi,4.1,6.56666666667,4.7,11810.5
Irelia,7.55555555556,5.23456790123,5.6049382716,12234.2962963
Ivern,2.29850746269,3.88059701493,11.5074626866,9365.05970149
Janna,0.78024691358,3.85679012346,14.4419753086,8601.6691358
Jarvan IV,6.88028169014,5.53521126761,9.32394366197,11800.8098592
Jax,5.59259259259,6.11111111111,4.67901234568,11627.0740741
Jayce,6.48803827751,5.44019138756,5.97129186603,11737.0669856
Jhin,6.30570902394,5.25598526703,9.03683241252,12080.1049724
Jinx,6.41379310345,6.10344827586,7.72413793103,12589.6724138
Kalista,7.40425531915,5.78723404255,6.76595744681,11823.1489362
Karma,1.9853372434,4.95601173021,12.9032258065,9243.35483871
Karthus,5.42105263158,7.0,7.73684210526,10846.5263158
Kassadin,6.32608695652,5.0,6.10869565217,11166.2608696
Katarina,9.23387096774,6.22580645161,5.57258064516,11917.3225806
Kayle,4.825,5.0,5.875,12081.05
Kennen,6.01666666667,5.75,5.93333333333,11965.55
Kha'Zix,8.04710144928,5.14130434783,5.75,11945.7391304
Kindred,5.61538461538,6.5641025641,7.5641025641,11192.2051282
Kled,6.25396825397,5.09523809524,6.93650793651,10981.3174603
Kog'Maw,6.62222222222,6.77777777778,6.57777777778,12240.0111111
LeBlanc,7.73033707865,5.24719101124,5.80898876404,11187.6067416
Lee Sin,6.93474088292,5.42994241843,7.93857965451,11211.621881
Leona,1.94915254237,5.76271186441,15.0508474576,9429.55932203
Lissandra,5.42857142857,5.67857142857,8.78571428571,11837.6785714
Lucian,6.69186046512,5.05813953488,6.54941860465,12167.8168605
Lulu,1.96296296296,4.31111111111,12.9592592593,9105.0037037
Lux,6.24509803922,5.39215686275,9.22549019608,11873.0
Malphite,4.06944444444,4.45833333333,7.86111111111,10708.6388889
Malzahar,3.92258064516,5.7935483871,9.41290322581,10579.6387097
Maokai,3.33548387097,5.07741935484,9.16774193548,10661.2129032
Master Yi,8.27083333333,5.83333333333,4.22916666667,12787.1458333
Miss Fortune,5.64935064935,5.91558441558,8.37012987013,11234.1363636
Mordekaiser,6.25925925926,5.88888888889,5.7037037037,11803.8148148
Morgana,2.57142857143,5.70676691729,12.5789473684,9912.72932331
Nami,1.396,4.168,14.78,8853.904
Nasus,3.7380952381,4.90476190476,6.40476190476,11351.7142857
Nautilus,2.71153846154,4.92948717949,9.53846153846,10129.0192308
Nidalee,7.41428571429,5.28571428571,6.94285714286,12064.5571429
Nocturne,5.8,5.53333333333,5.86666666667,11167.4888889
Nunu,2.53125,5.40625,9.375,9382.625
Olaf,6.91133004926,5.60591133005,6.93596059113,12368.1921182
Orianna,5.5,4.64102564103,7.92307692308,11654.9487179
Pantheon,6.93203883495,6.33009708738,6.57281553398,11203.776699
Poppy,4.09900990099,4.64356435644,7.84158415842,10655.2475248
Quinn,7.38709677419,7.3064516129,7.38709677419,11991.5
Rammus,4.34782608696,4.91304347826,10.9130434783,10357.2608696
Rek'Sai,5.45731707317,4.81097560976,9.19512195122,12110.6097561
Renekton,5.20491803279,5.66393442623,5.77049180328,11917.9016393
Rengar,7.48684210526,5.88815789474,6.74342105263,12354.3881579
Riven,6.43518518519,5.90277777778,4.93055555556,12147.7268519
Rumble,5.21951219512,5.34959349593,7.74796747967,11785.7886179
Ryze,5.92432432432,5.25405405405,6.45945945946,11949.4378378
Sejuani,3.90909090909,4.09090909091,8.09090909091,9849.45454545
Shaco,7.22727272727,5.26363636364,8.11818181818,12282.0636364
Shen,3.5,4.75806451613,11.3387096774,10839.3225806
