champion,role,kills,deaths,assists,gold,win
Aatrox,adc,6.0,5.625,6.5,11378.5,0.5
Aatrox,jg,4.98639455782,5.6462585034,5.7074829932,10830.7346939,0.428571428571
Aatrox,mid,3.7,5.15,4.05,7653.85,0.35
Aatrox,sup,3.6,6.8,10.2,10673.0,0.2
Aatrox,top,5.27010309278,6.04329896907,5.1175257732,11593.1752577,0.496907216495
Ahri,adc,5.53913043478,5.0347826087,7.26086956522,11348.226087,0.495652173913
Ahri,jg,5.57510729614,4.79399141631,6.83690987124,10198.4420601,0.523605150215
Ahri,mid,6.16073320619,4.849544395,7.04969273151,11662.9196864,0.518753973299
Ahri,sup,2.6,5.86666666667,9.06666666667,9104.8,0.333333333333
Ahri,top,5.09756097561,5.26829268293,6.5243902439,11879.8414634,0.353658536585
Akali,adc,8.52631578947,6.94736842105,5.15789473684,11478.3157895,0.473684210526
Akali,jg,7.53465346535,6.0099009901,5.84158415842,10993.029703,0.425742574257
Akali,mid,7.89840348331,6.10595065312,5.13788098694,11405.8243832,0.505079825835
Akali,sup,7.5,8.0,10.5,11811.25,0.75
Akali,top,7.26952141058,5.89252728799,4.86481947943,11835.2670025,0.51973131822
Alistar,jg,2.2972972973,5.39189189189,11.4054054054,7787.02702703,0.459459459459
Alistar,mid,1.36904761905,3.72619047619,7.7380952381,5851.7797619,0.428571428571
Alistar,sup,1.56077669903,5.34640776699,12.8768932039,8550.5592233,0.48
Alistar,top,2.4,4.6,7.2,10068.8666667,0.333333333333
Amumu,jg,4.44278606965,5.36218905473,9.37412935323,10869.3502488,0.459701492537
Amumu,mid,1.61538461538,5.76923076923,4.92307692308,6058.0,0.153846153846
Amumu,sup,3.33333333333,6.81481481481,12.1481481481,10125.8888889,0.518518518519
Amumu,top,3.70588235294,6.41176470588,6.11764705882,9550.17647059,0.176470588235
Anivia,adc,5.17073170732,4.14634146341,7.14634146341,11361.6829268,0.512195121951
Anivia,jg,5.06338028169,3.31690140845,5.83802816901,10236.7887324,0.591549295775
Anivia,mid,5.57152875175,4.3278401122,6.91514726508,11755.2720898,0.519985974755
Anivia,sup,2.87640449438,6.4606741573,9.80898876404,9758.59550562,0.370786516854
Anivia,top,4.96153846154,4.34065934066,7.16758241758,11616.9230769,0.574175824176
Annie,adc,6.94845360825,5.87628865979,7.87628865979,12251.6701031,0.567010309278
Annie,jg,6.34899328859,5.63087248322,6.6711409396,10017.4630872,0.476510067114
Annie,mid,6.47255689424,5.31224899598,6.96184738956,11330.45917,0.526773761714
Annie,sup,3.76205787781,7.0192926045,10.0900321543,9727.22186495,0.466237942122
Annie,top,5.62310606061,5.20454545455,6.55871212121,11375.2405303,0.517045454545
Ashe,adc,4.55488358028,5.59918355005,8.38237072876,11625.9573632,0.482007862111
Ashe,jg,2.2380952381,3.14285714286,4.14285714286,5370.42857143,0.357142857143
Ashe,mid,2.53937947494,4.34128878282,4.89260143198,6947.7326969,0.365155131265
Ashe,sup,1.65405405405,5.78378378378,10.227027027,8512.52432432,0.372972972973
Ashe,top,2.33333333333,5.66666666667,7.0,8824.66666667,0.333333333333
Aurelion Sol,adc,4.42857142857,5.14285714286,6.67857142857,10544.4642857,0.285714285714
Aurelion Sol,jg,7.22256097561,4.46036585366,8.87195121951,12054.9603659,0.542682926829
Aurelion Sol,mid,6.78786020846,4.53157572042,8.18209687308,12002.619252,0.555487431024
Aurelion Sol,sup,3.39130434783,5.5652173913,9.4347826087,9411.17391304,0.521739130435
Aurelion Sol,top,5.55882352941,4.23529411765,5.91176470588,11564.2647059,0.470588235294
Azir,adc,4.90625,6.78125,7.6875,11795.46875,0.5
Azir,jg,5.46666666667,5.13333333333,5.93333333333,10584.5333333,0.333333333333
Azir,mid,5.08579599619,5.38703527169,6.03622497617,11526.3317445,0.449952335558
Azir,sup,3.2,9.6,9.8,11612.6,0.2
Azir,top,5.23076923077,5.53846153846,4.76923076923,12010.4615385,0.461538461538
Bard,adc,4.27272727273,4.36363636364,8.54545454545,10412.0909091,0.545454545455
Bard,jg,2.43617021277,5.06382978723,10.8404255319,7641.39361702,0.531914893617
Bard,mid,1.0,1.88489208633,2.91366906475,3461.1942446,0.41726618705
Bard,sup,2.3614800759,5.49596774194,13.2986242884,9240.74810247,0.480787476281
Bard,top,4.89361702128,4.68085106383,7.72340425532,10742.4042553,0.468085106383
Blitzcrank,adc,11.0,4.0,8.0,11327.0,1.0
Blitzcrank,jg,2.29743589744,5.78461538462,11.158974359,7956.98974359,0.461538461538
Blitzcrank,mid,1.6641221374,3.61323155216,8.46055979644,6684.09923664,0.517811704835
Blitzcrank,sup,2.21632155907,5.47028014616,12.4364190012,8944.84945189,0.519366626066
Blitzcrank,top,2.42857142857,5.14285714286,5.28571428571,7925.0,0.142857142857
Brand,adc,5.625,5.75,6.625,10347.475,0.375
Brand,jg,5.5404040404,5.87373737374,6.42929292929,9929.06060606,0.469696969697
Brand,mid,5.24946921444,5.45329087049,6.73142250531,10134.9713376,0.493630573248
Brand,sup,4.03947012706,7.15896188159,9.47607461476,10130.514193,0.477426331441
Brand,top,5.06382978723,6.20212765957,7.15957446809,11329.5957447,0.531914893617
Braum,adc,4.0,7.0,4.0,8153.0,0.0
Braum,jg,1.2,3.7652173913,9.68695652174,6573.06086957,0.55652173913
Braum,mid,1.19072164948,3.38144329897,8.94845360825,6251.17010309,0.453608247423
Braum,sup,1.27905531386,4.97917961467,13.7983219391,8683.38440025,0.49906774394
Braum,top,1.8,4.2,8.8,8152.6,0.6
Caitlyn,adc,5.35015490944,5.35241897045,7.09920162059,12170.827276,0.494756911344
Caitlyn,jg,3.77586206897,3.5,4.60344827586,7915.79310345,0.456896551724
Caitlyn,mid,2.74606505771,3.4480587618,3.66316894019,6779.34942288,0.477439664218
Caitlyn,sup,1.8,6.0,5.0,6476.2,0.2
Caitlyn,top,3.5,5.08333333333,6.0,10033.1666667,0.333333333333
Camille,adc,9.10526315789,6.84210526316,8.47368421053,12675.5789474,0.578947368421
Camille,jg,6.91161616162,6.22474747475,7.29545454545,11025.3535354,0.472222222222
Camille,mid,6.32862190813,5.78445229682,6.34628975265,10380.6501767,0.501766784452
Camille,sup,2.53305785124,6.40495867769,11.7272727273,8882.29338843,0.5
Camille,top,6.39429124335,5.75810353169,5.97726173198,11326.5478955,0.526850507983
