champion,kills,deaths,assists,gold,win
Aatrox,5.15639097744,5.92932330827,5.27067669173,11296.6586466,0.475187969925
Ahri,6.12546797531,4.85540827684,7.04583628453,11622.6487909,0.516948295052
Akali,7.51147704591,5.98602794411,5.02195608782,11641.739022,0.50998003992
Alistar,1.57309322034,5.24752824859,12.5035310734,8378.5529661,0.47563559322
Amumu,4.368173258,5.4209039548,9.33804143126,10770.4359699,0.452919020716
Anivia,5.41370412844,4.34030963303,6.97419724771,11623.4415138,0.524655963303
Annie,6.16228823963,5.45371961699,7.15958752762,11187.7532531,0.520009820771
Ashe,4.35040616825,5.51714167699,8.20294644086,11239.4370095,0.47170590665
Aurelion Sol,6.76663405088,4.53522504892,8.24853228963,11954.5919765,0.547945205479
Azir,5.078994614,5.44434470377,6.08438061041,11527.4183124,0.448833034111
Bard,2.35211892611,5.36432216552,12.8573330375,9047.66296872,0.479920124251
Blitzcrank,2.1719752147,5.31786063703,12.0637025764,8730.22404609,0.517773671051
Brand,4.36054695355,6.75527850392,8.7681479992,10147.7478383,0.480394128293
Braum,1.27313897538,4.85140107557,13.3883385225,8480.2366261,0.498443249363
Caitlyn,5.19882484611,5.23883603805,6.89843312815,11852.6522664,0.493396754337
Camille,6.2569964525,5.83090264091,6.38431217974,11138.7591644,0.520102483248
Cassiopeia,6.0752688172,5.58781362007,6.12138590203,11628.6336918,0.493189964158
Cho'Gath,5.28421052632,4.9485380117,5.7298245614,11102.9251462,0.412865497076
Corki,6.70086355786,5.63454231434,6.80431778929,12063.6537133,0.481692573402
Darius,6.03699402787,5.47627737226,4.88055739881,11418.1028534,0.503151957532
Diana,6.14230396902,5.66553727009,5.86931268151,11562.3165537,0.475798644724
Dr. Mundo,3.99820466786,5.25314183124,6.45062836625,10820.518851,0.450628366248
Draven,6.63756861695,5.85392957558,6.02343017807,12792.7268711,0.520551613335
Ekko,6.41497550735,5.49965010497,5.76459062281,11759.9524143,0.493911826452
Elise,6.41793987186,5.48348940365,7.42286840808,11185.758206,0.490192212913
Evelynn,7.73182219606,5.5934648219,7.89461289373,11584.6184869,0.469826317339
Ezreal,5.75082529475,4.82323687031,7.47455519829,11727.9791211,0.474426580922
Fiddlesticks,4.59677419355,6.28091397849,9.15860215054,10221.094086,0.504032258065
Fiora,5.90881286815,5.80108744903,4.31513366561,11648.2493203,0.491617580426
Fizz,7.67765567766,5.48087098087,5.31603581604,11623.2289377,0.512006512007
Galio,3.61418047882,5.19106813996,9.89134438306,10329.0290055,0.482965009208
Gangplank,5.33060867027,4.96847175595,7.40665596263,13374.1185228,0.481973434535
Garen,5.34393063584,5.23699421965,4.54624277457,10977.5404624,0.46676300578
Gnar,4.44083333333,5.3325,6.405,11000.0041667,0.451666666667
Gragas,4.4337144623,4.49412855377,8.54944375773,10618.6654821,0.511124845488
Graves,7.0786163522,5.41261171797,6.37305527971,12507.9491063,0.511916583913
Hecarim,6.80413879599,4.95338628763,7.8727006689,11617.7122701,0.500522575251
Heimerdinger,3.65549348231,5.19180633147,6.55121042831,11109.9664804,0.441340782123
Illaoi,4.65700141443,5.88330975955,4.50212164074,11804.062942,0.48585572843
Irelia,6.10018358248,5.49750852347,5.2321007081,11438.9071597,0.497770784159
Ivern,2.44518945891,3.65289256198,12.4631217839,9902.95399969,0.557149539997
Janna,0.748230469008,3.67367863994,13.3735529536,8357.58483826,0.512998610835
